iter	RMSE
178	0.1353713698
179	0.135268695
180	0.1351266211
181	0.1349425076
182	0.1347590097
183	0.1346680685
184	0.134499486
185	0.1343302161
186	0.1342080676
187	0.1340737548
188	0.1339523999
189	0.1338511241
190	0.1337229447
19191	0.1324997192	192	0.1323532193	193	0.1321947519
194	0.1320350976
195	0.1319199168
196	0.1317640353
197	0.1315675671
198	0.131433429
199	0.1312977596
200	0.1311121857
201	0.1309908496
202	0.1308200254
203	0.1307145854
204	0.1305537313
205	0.1304307491
206	0.1303310613
207	0.1301655294
208	0.1300672395
209	0.1299150575
210	0.1297795538
211	0.1296497135
212	0.1294980624
213	0.1294216611
214	0.1292788838
215	0.1291252256
216	0.1289826246
217	0.1288631622
218	0.1287796895
219	0.1286709236
220	0.1285567366
221	0.1282952909
222	0.1282112449
223	0.128100524
224	0.1279450085
225	0.1278730517
226	0.127767933
227	0.1276922364
228	0.1275449459
229	0.1273856504
230	0.1272622754
231	0.1271413622
232	0.1270091886
233	0.1268691769
234	0.1267268913
235	0.1265900358
236	0.126451911
237	0.1261929233
238	0.1260528796
239	0.1259153561
240	0.1257911908
241	0.1256179841
242	0.125525716
243	0.1254410884
244	0.1253696674
245	0.1252355458
246	0.1251194184
247	0.1249948097
248	0.1248579782
249	0.1247293232
250	0.1245992341
251	0.1245120744
252	0.1244089493
253	0.1243454857
254	0.1240706229
255	0.1239490831
256	0.1238405591
257	0.1236311847
258	0.1235374086
259	0.1234745362
260	0.1233652415
261	0.1232589078
262	0.1231705068
263	0.1230668411
264	0.1229758001
265	0.1228731815
266	0.1227615461
267	0.122633527
268	0.1224496959
269	0.1221989323
270	0.122081487
271	0.1219770331
272	0.1218802754
273	0.1217619052
274	0.1216205654
275	0.1214384199
276	0.1213607316
277	0.1212616493
278	0.1211197253
279	0.1209281888
280	0.1208395529
281	0.1207493002
282	0.1206132388
283	0.1205009507
284	0.1203896039
285	0.1203266671
286	0.1202488967
287	0.1201014384
288	0.1200271263
289	0.119875955
290	0.1198118993
291	0.119708506
292	0.1195381317
293	0.1193839796
294	0.119323562
295	0.11927652
296	0.1191495892
297	0.1190473213
298	0.1188990471
299	0.1188458934
300	0.1187806174
301	0.1186987606
302	0.1186389903
303	0.1185733681
304	0.11853081
305	0.1183832145
306	0.1182876905
307	0.1181848314
308	0.1180766378
309	0.1179853054
310	0.1179443959
311	0.117829476
312	0.1177446057
313	0.11766603
314	0.1176252643
315	0.1175369535
316	0.1174675386
317	0.1173810441
318	0.1171807464
319	0.1171428892
320	0.1170557493
321	0.1169443929
322	0.1168916816
323	0.116795975
324	0.1167236588
325	0.1166549053
326	0.1166016752
327	0.1165379535
328	0.1164748508
329	0.1163371857
330	0.1162903425
331	0.1162446709
332	0.1161782003
333	0.1160927341
334	0.1160216636
335	0.1159416766
336	0.1157722888
337	0.1156712741
338	0.1155939757
339	0.1155513014
340	0.1154070035
341	0.1152653874
342	0.1152119316
343	0.1151192155
344	0.1149762915
345	0.1148969382
346	0.1147691847
347	0.1146539592
348	0.1145927269
349	0.1145530232
350	0.1145148562
351	0.1144686272
352	0.1143709722
353	0.1142880706
354	0.114195891
355	0.1140979831
356	0.1139774728
357	0.1138604107
358	0.1137628406
359	0.113684197
360	0.1135772552
361	0.1134811168
362	0.1134251802
363	0.1133734231
364	0.1133051065
365	0.1132187207
366	0.1131498137
367	0.1130357677
368	0.112946971
369	0.11285188
370	0.1127526864
371	0.1126695304
372	0.1125155622
373	0.1124184491
374	0.1123814922
375	0.1123176105
376	0.1122397917
377	0.1121719145
378	0.1121067595
379	0.1119606008
380	0.1118983321
381	0.1118415409
382	0.1117762123
383	0.1117256914
384	0.1116808216
385	0.1115787128
386	0.1115214702
387	0.1113818345
388	0.111297898
389	0.1112464259
390	0.1111648799
391	0.1111117495
392	0.1110004031
393	0.1109116699
394	0.110844419
395	0.1107539349
396	0.1106461648
397	0.1105608906
398	0.1104876299
399	0.1103470317
400	0.1102175665
401	0.1101093943
402	0.1099800423
403	0.1098986567
404	0.109854577
405	0.1097804995
406	0.1096647601
407	0.1095592413
408	0.1094665039
409	0.1093940624
410	0.1093174636
411	0.1092651012
412	0.1091708298
413	0.1090908715
414	0.1089762639
415	0.1089197022
416	0.1088642949
417	0.1087992131
418	0.1087618929
419	0.1087090715
420	0.1086160796
421	0.1085364314
422	0.108455371
423	0.1083603188
424	0.1082697133
425	0.1082068447
426	0.1081437129
427	0.1080528201
428	0.1079708248
429	0.107918834
430	0.1078667495
431	0.1078250038
432	0.107735372
433	0.1076517963
434	0.1075615108
435	0.107491623
436	0.1074112193
437	0.1073176006
438	0.107244483
439	0.1072017986
440	0.1071158779
441	0.1070505184
442	0.1070228985
443	0.1069638247
444	0.1068949282
445	0.1068086061
446	0.1067538777
447	0.1067188309
448	0.1066236364
449	0.1065833818
450	0.1065399478
451	0.1064875336
452	0.1064184187
453	0.1063564863
454	0.1063041588
455	0.1062610114
456	0.1062205944
457	0.106182895
458	0.1061241437
459	0.1060175052
460	0.1059235311
461	0.1058877998
462	0.1058471779
463	0.1057787962
464	0.1057127047
465	0.1056439375
466	0.1056040421
467	0.1054825161
468	0.1054325917
469	0.1053901031
470	0.1053171324
471	0.1052418652
472	0.1051755256
473	0.105135033
474	0.105064923
475	0.1050026727
476	0.1049012512
477	0.1048000103
478	0.104712448
479	0.1046728172
480	0.1046183364
481	0.1045304682
482	0.1044694302
483	0.1044109928
484	0.1043266482
485	0.1042621465
486	0.1041996996
487	0.1041039882
488	0.1040525729
489	0.1039811792
490	0.103905638
491	0.1038661297
492	0.1038270662
493	0.103756381
494	0.1036406749
495	0.1035841005
496	0.1035196579
497	0.1034028782
498	0.1033684773
499	0.1032948889
500	0.103233888
501	0.1031668543
502	0.103108509
503	0.1030348002
504	0.103001836
505	0.1029354317
506	0.1028529659
507	0.102794358
508	0.1027572262
509	0.1027101066
510	0.1026504942
511	0.1026067102
512	0.1025709811
513	0.1025259442
514	0.1024797155
515	0.1024415879
516	0.1023997041
517	0.1023104633
518	0.1022655411
519	0.1022343179
520	0.1022037674
521	0.1021467847
522	0.1020741498
523	0.1020140213
524	0.1019601742
525	0.1018641001
526	0.1017613418
527	0.1017247949
528	0.10164647
529	0.1015981067
530	0.1015295439
531	0.1014493582
532	0.1013985393
533	0.1013459997
534	0.1013067344
535	0.1012643275
536	0.1011865921
537	0.1011223655
538	0.1010350994
539	0.100975046
540	0.100940476
541	0.1009020924
542	0.10080991
543	0.1007356514
544	0.1006941777
545	0.100646295
546	0.1005958007
547	0.1005638354
548	0.1004905233
549	0.1004124574
550	0.1003228955
551	0.100282598
552	0.1002271503
553	0.1001398156
554	0.1000813279
555	0.09999617976
556	0.09995024119
557	0.09989228724
558	0.09984660482
559	0.09980430629
560	0.09975466339
561	0.09967756043
562	0.09962900055
563	0.09957902545
564	0.09953924077
565	0.09948015738
566	0.09942990617
567	0.09936376342
568	0.09932515568
569	0.09928770957
570	0.09923387474
571	0.09918327566
572	0.09911963581
573	0.09904728707
574	0.09898770713
575	0.09890679403
576	0.09883478951
577	0.09877959682
578	0.0987251963
579	0.09867645801
580	0.0986367816
581	0.09860595045
582	0.09851587312
583	0.09844835816
584	0.09837663324
585	0.09831681968
586	0.09826642884
587	0.09823258875
588	0.09819418069
589	0.09811584016
590	0.09808405594
591	0.0980211566
592	0.09796985449
593	0.09792377513
594	0.09784789289
595	0.09778503731
596	0.09774122196
597	0.0976939777
598	0.09765625794
599	0.09760064002
600	0.09754427923
601	0.09751091513
602	0.09747712649
603	0.09743258037
604	0.09738373739
605	0.09732909238
606	0.09728928214
607	0.09725213737
608	0.09720928057
609	0.09714247706
610	0.09711718405
611	0.09702651766
612	0.09696018647
613	0.09692530011
614	0.09686333612
615	0.09683261649
616	0.09678812089
617	0.09672249122
618	0.09667663338
619	0.09660504413
620	0.09654970275
621	0.09650267647
622	0.09644151636
623	0.09639362486
624	0.09629831272
625	0.09620321114
626	0.09614360735
627	0.09609380898
628	0.09605054418
629	0.09600609717
630	0.09595283949
631	0.09588358663
632	0.09582123404
633	0.0957796718
634	0.09572017897
635	0.09567613751
636	0.09563287108
637	0.09559036144
638	0.09553085782
639	0.095496724
640	0.09545050734
641	0.09540503692
642	0.09534013907
643	0.0952830913
644	0.09520869599
645	0.09517515553
646	0.09512906141
647	0.09508857616
648	0.09504550409
649	0.09497940974
650	0.09492810237
651	0.09488914286
652	0.0948445753
653	0.09478795596
654	0.09473021946
655	0.09468322031
656	0.0946232253
657	0.09456788605
658	0.09453894879
659	0.09450169682
660	0.09446404635
661	0.09438300215
662	0.0943433107
663	0.09426396348
664	0.09421431906
665	0.09414905072
666	0.09407800607
667	0.09404713766
668	0.09398999757
669	0.09395140699
670	0.09388484981
671	0.0938595435
672	0.09382348691
673	0.09379972967
674	0.09376547716
675	0.09370787078
676	0.09367336052
677	0.09360117684
678	0.09355722158
679	0.09347222365
680	0.09343604096
681	0.09338918084
682	0.093346502
683	0.09328719272
684	0.09323010506
685	0.09318898729
686	0.09315571414
687	0.09311030991
688	0.09305737279
689	0.09300717415
690	0.09294080173
691	0.09289221687
692	0.09285966441
693	0.09280413835
694	0.09273552676
695	0.09268170164
696	0.09263659952
697	0.09257154698
698	0.09253653866
699	0.09249162314
700	0.09244385881
701	0.09239272133
702	0.09235581603
703	0.09231682988
704	0.09227172837
705	0.0922078192
706	0.092174161
707	0.09209874436
708	0.0920701856
709	0.09202661437
710	0.0919871458
711	0.09195165731
712	0.0919131339
713	0.09187896318
714	0.0918272298
715	0.09177759074
716	0.09175348871
717	0.09169372235
718	0.09166185091
719	0.09160750529
720	0.09156655676
721	0.09152570733
722	0.09148722281
723	0.09141843189
724	0.09138421433
725	0.09128969492
726	0.09122274926
727	0.09118410681
728	0.09114502439
729	0.09109705149
730	0.09105213635
731	0.09101400609
732	0.09097254574
733	0.09092535294
734	0.09089311934
735	0.09085226177
736	0.09078890997
737	0.09074349711
738	0.09071601722
739	0.0906756908
740	0.09066757305
741	0.09063122389
742	0.09058634795
743	0.09057179071
744	0.09051708429
745	0.09048322871
746	0.09042510406
747	0.09039760497
748	0.09035578748
749	0.09034130387
750	0.09030178172
751	0.09026075077
752	0.09021454098
753	0.09019142866
754	0.09014794155
755	0.0901195367
756	0.09008508134
757	0.09002675659
758	0.0899835109
759	0.08990826019
760	0.08986816158
761	0.08984865409
762	0.08980689733
763	0.08977981093
764	0.08972554893
765	0.08969584578
766	0.08966670382
767	0.08964209711
768	0.08960569837
769	0.0895615724
770	0.08951191221
771	0.08945747325
772	0.08941079736
773	0.089384847
774	0.08932685533
775	0.08929124709
776	0.08926152622
777	0.08922549904
778	0.08918394165
779	0.08910535801
780	0.08906805818
781	0.08901911012
782	0.08895251142
783	0.08887269158
784	0.0888441083
785	0.08880477088
786	0.08878258164
787	0.08874052191
788	0.08868835283
789	0.08864705531
790	0.08860662726
791	0.08857137927
792	0.08853161554
793	0.08848719258
794	0.08844498509
795	0.0883977098
796	0.08834486579
797	0.08831201146
798	0.08828647528
799	0.0882500204
658
799	0.08725945148
