iter	Passed	Remaining
403	21023	20607
404	21061	20541
405	21100	20477
406	21134	20407
407	21173	20343
408	21207	20274
409	21245	20208
410	21281	20142
411	21320	20078
412	21354	20009
413	21394	19947
414	21438	19888
415	21478	19826
416	21522	19767
417	21566	19709
418	21605	19645
419	21641	19580
420	21684	19521
421	21718	19454
422	21758	19392
423	21793	19325
424	21831	19263
425	21867	19198
426	21908	19138
427	21951	19079
428	21989	19016
429	22023	18950
430	22059	18885
431	22094	18821
432	22133	18759
433	22167	18694
434	22203	18630
435	22239	18567
436	22282	18508
437	22320	18447
438	22358	18386
439	22399	18327
440	22441	18268
441	22480	18208
442	22518	18147
443	22570	18096
444	22604	18033
445	22647	17976
446	22685	17915
447	22723	17854
448	22760	17792
449	22805	17737
450	22846	17679
451	22884	17618
452	22918	17555
453	22958	17496
454	22997	17437
455	23037	17379
456	23074	17318
457	23111	17257
458	23148	17197
459	23190	17140
460	23228	17081
461	23265	17021
462	23308	16965
463	23346	16905
464	23384	16847
465	23428	16791
466	23466	16732
467	23503	16673
468	23541	16614
469	23582	16558
470	23615	16495
471	23656	16438
472	23698	16383
473	23735	16324
474	23777	16268
475	23816	16211
476	23855	16153
477	23896	16097
478	23935	16040
479	23976	15984
480	24015	15927
481	24053	15869
482	24097	15815
483	24133	15756
484	24168	15696
485	24204	15638
486	24240	15579
487	24278	15522
488	24320	15467
489	24356	15409
490	24401	15356
491	24439	15299
492	24479	15244
493	24518	15187
494	24562	15134
495	24605	15080
496	24642	15023
497	24679	14966
498	24714	14907
499	24752	14851
500	24789	14794
501	24827	14738
502	24866	14682
503	24911	14630
504	24946	14572
505	24985	14517
506	25023	14461
507	25061	14405
508	25096	14347
509	25131	14290
510	25170	14235
511	25208	14179
512	25249	14125
513	25288	14070
514	25328	14016
515	25368	13962
516	25407	13907
517	25442	13850
518	25483	13797
519	25523	13743
520	25563	13689
521	25605	13636
522	25648	13584
523	25688	13530
524	25724	13474
525	25768	13423
526	25809	13370
527	25850	13317
528	25895	13265
529	25936	13212
530	25977	13159
531	26017	13106
532	26054	13051
533	26099	13001
534	26137	12946
535	26178	12894
536	26225	12843
537	26261	12789
538	26312	12741
539	26351	12687
540	26390	12634
541	26430	12581
542	26473	12529
543	26517	12478
544	26561	12427
545	26598	12373
546	26639	12321
547	26681	12269
548	26722	12217
549	26764	12165
550	26805	12113
551	26844	12060
552	26883	12007
553	26921	11954
554	26959	11901
555	26998	11848
556	27033	11793
557	27071	11740
558	27113	11689
559	27155	11637
560	27198	11587
561	27234	11533
562	27274	11481
563	27313	11429
564	27355	11377
565	27395	11326
566	27432	11272
567	27468	11219
568	27509	11168
569	27552	11117
570	27588	11064
571	27629	11013
572	27669	10961
573	27705	10908
574	27746	10857
575	27784	10805
576	27824	10753
577	27866	10702
578	27905	10651
579	27943	10599
580	27982	10547
581	28022	10496
582	28063	10445
583	28103	10394
584	28146	10344
585	28183	10292
586	28222	10240
587	28257	10188
588	28295	10136
589	28329	10083
590	28371	10033
591	28408	9981
592	28449	9931
593	28489	9880
594	28527	9828
595	28566	9777
596	28603	9726
597	28643	9675
598	28684	9625
599	28725	9575
600	28759	9522
601	28798	9471
602	28840	9422
603	28882	9372
604	28924	9322
605	28963	9272
606	29002	9221
607	29039	9170
608	29079	9120
609	29119	9069
610	29161	9020
611	29201	8970
612	29238	8919
613	29279	8869
614	29324	8821
615	29362	8770
616	29402	8720
617	29444	8671
618	29490	8623
619	29526	8572
620	29566	8522
621	29605	8472
622	29648	8423
623	29688	8373
624	29732	8325
625	29779	8277
626	29819	8227
627	29858	8177
628	29897	8127
629	29934	8077
630	29971	8027
631	30006	7976
632	30046	7926
633	30088	7877
634	30128	7828
